iter	Passed	Remaining
523	2366	2150
524	2371	2145
525	2375	2140
526	2379	2135
527	2383	2130
528	2387	2125
529	2391	2120
530	2395	2115
531	2399	2110
532	2402	2104
533	2407	2100
534	2411	2095
535	2415	2090
536	2419	2085
537	2423	2081
538	2427	2076
539	2431	2071
540	2436	2067
541	2440	2062
542	2444	2057
543	2448	2052
544	2452	2047
545	2457	2043
546	2461	2038
547	2465	2033
548	2469	2029
549	2474	2024
550	2478	2019
551	2482	2015
552	2487	2010
553	2490	2005
554	2495	2000
555	2499	1995
556	2503	1991
557	2507	1986
558	2512	1981
559	2516	1977
560	2520	1972
561	2525	1967
562	2529	1963
563	2534	1958
564	2538	1954
565	2542	1949
566	2546	1944
567	2549	1939
568	2553	1934
569	2557	1929
570	2562	1925
571	2566	1920
572	2571	1915
573	2575	1911
574	2580	1906
575	2584	1902
576	2588	1897
577	2593	1893
578	2597	1888
579	2602	1884
580	2606	1879
581	2610	1874
582	2614	1870
583	2618	1865
584	2622	1860
585	2626	1855
586	2631	1851
587	2635	1846
588	2639	1841
589	2643	1836
590	2648	1832
591	2651	1827
592	2655	1822
593	2659	1817
594	2663	1813
595	2696	1827
596	2699	1822
597	2702	1816
598	2706	1811
599	2709	1806
600	2713	1801
601	2716	1796
602	2719	1790
603	2724	1785
604	2728	1781
605	2732	1776
606	2736	1771
607	2740	1766
608	2745	1762
609	2748	1757
610	2752	1752
611	2756	1747
612	2760	1742
613	2764	1737
614	2768	1732
615	2771	1727
616	2775	1722
617	2777	1717
618	2781	1712
619	2784	1706
620	2788	1701
621	2792	1696
622	2794	1691
623	2797	1685
624	2801	1680
625	2804	1675
626	2807	1670
627	2810	1665
628	2813	1659
629	2816	1654
630	2820	1649
631	2823	1643
632	2826	1638
633	2829	1633
634	2832	1627
635	2835	1622
636	2839	1618
637	2843	1613
638	2846	1608
639	2850	1603
640	2854	1598
641	2858	1593
642	2862	1589
643	2865	1584
644	2869	1579
645	2873	1574
646	2876	1569
647	2880	1564
648	2883	1559
649	2886	1554
650	2890	1549
651	2894	1544
652	2897	1539
653	2901	1535
654	2905	1530
655	2909	1525
656	2913	1520
657	2917	1516
658	2921	1511
659	2924	1506
660	2929	1502
661	2934	1498
662	2940	1494
663	2945	1490
664	2950	1486
665	2955	1482
666	2959	1477
667	2964	1473
668	2968	1468
669	2972	1463
670	2975	1458
671	2980	1454
672	2984	1449
673	2988	1445
674	2992	1440
675	2996	1436
676	3000	1431
677	3004	1426
678	3007	1422
679	3011	1417
680	3029	1419
681	3032	1413
682	3035	1408
683	3038	1403
684	3041	1398
685	3044	1393
686	3048	1388
687	3051	1383
688	3055	1379
689	3058	1374
690	3061	1369
691	3065	1364
692	3069	1359
693	3072	1354
694	3076	1350
695	3081	1345
696	3085	1341
697	3089	1336
698	3093	1332
699	3098	1327
700	3102	1323
701	3106	1318
702	3111	1314
703	3116	1310
704	3119	1305
705	3125	1301
706	3129	1297
707	3134	1292
708	3137	1287
709	3142	1283
710	3147	1279
711	3151	1274
712	3156	1270
713	3161	1266
714	3165	1261
715	3170	1257
716	3174	1253
717	3178	1248
718	3184	1244
719	3189	1240
720	3193	1235
721	3197	1231
722	3202	1226
723	3207	1222
724	3211	1218
725	3216	1214
726	3221	1209
727	3227	1205
728	3232	1201
729	3236	1197
730	3241	1193
731	3246	1188
732	3252	1184
733	3257	1180
734	3264	1176
735	3270	1173
736	3275	1168
737	3281	1164
738	3287	1160
739	3293	1157
740	3299	1153
741	3306	1149
742	3311	1145
743	3317	1141
744	3323	1137
745	3329	1133
746	3335	1129
747	3340	1125
748	3345	1121
749	3351	1117
750	3357	1113
751	3362	1109
752	3368	1105
753	3374	1100
754	3380	1096
755	3385	1092
756	3392	1088
757	3398	1084
758	3403	1080
759	3409	1076
760	3414	1072
761	3420	1068
762	3427	1064
763	3433	1060
764	3438	1056
765	3443	1051
766	3448	1047
767	3453	1043
768	3459	1039
769	3464	1034
770	3469	1030
771	3474	1026
772	3479	1021
773	3483	1017
774	3487	1012
775	3492	1008
776	3497	1003
777	3501	999
778	3506	994
779	3511	990
780	3516	985
781	3521	981
782	3525	977
783	3529	972
784	3533	967
785	3537	963
786	3542	958
787	3547	954
788	3551	949
789	3555	945
790	3558	940
791	3562	935
792	3566	930
793	3569	926
794	3573	921
795	3577	916
796	3581	912
797	3584	907
798	3588	902
799	3593	898
800	3597	893
801	3601	889
802	3604	884
803	3609	879
804	3613	875
805	3616	870
806	3621	866
807	3625	861
808	3628	856
809	3632	851
810	3635	847
811	3639	842
812	3643	837
813	3646	833
814	3649	828
815	3654	823
816	3657	819
817	3661	814
818	3664	809
819	3668	805
820	3672	800
821	3675	796
822	3679	791
823	3683	786
824	3687	782
825	3691	777
826	3694	772
827	3698	768
828	3702	763
829	3706	759
830	3710	754
831	3714	749
832	3718	745
833	3722	740
834	3725	736
835	3729	731
836	3733	727
837	3738	722
838	3741	718
839	3745	713
840	3748	708
841	3752	704
842	3755	699
843	3759	694
844	3763	690
845	3766	685
846	3770	681
847	3773	676
848	3776	671
849	3779	666
850	3783	662
851	3785	657
852	3789	653
853	3792	648
854	3795	643
855	3799	639
856	3801	634
857	3804	629
858	3808	625
859	3812	620
860	3816	616
861	3820	611
862	3824	607
863	3827	602
864	3833	598
865	3837	593
866	3842	589
867	3846	584
868	3850	580
869	3854	575
870	3858	571
871	3861	566
872	3864	562
873	3866	557
874	3869	552
875	3872	548
876	3875	543
877	3878	538
878	3881	534
879	3884	529
880	3888	525
881	3893	520
882	3897	516
883	3902	512
884	3906	507
885	3910	503
886	3914	498
887	3919	494
888	3923	489
889	3928	485
890	3933	481
891	3937	476
892	3941	472
893	3945	467
894	3949	463
895	3954	458
896	3958	454
897	3963	450
898	3968	445
899	3972	441
900	3977	437
901	3981	432
902	3986	428
903	3990	423
904	3995	419
905	4000	415
906	4005	410
907	4010	406
908	4014	401
909	4018	397
910	4020	392
911	4024	388
912	4027	383
913	4029	379
914	4032	374
915	4036	370
916	4040	365
917	4043	361
918	4047	356
919	4051	352
920	4054	347
921	4058	343
922	4061	338
923	4064	334
924	4067	329
925	4071	325
926	4074	320
927	4077	316
928	4081	311
929	4084	307
930	4088	303
931	4092	298
932	4096	294
933	4099	289
934	4102	285
935	4105	280
936	4108	276
937	4111	271
938	4114	267
939	4118	262
940	4121	258
941	4123	253
942	4127	249
943	4131	245
944	4135	240
945	4140	236
946	4143	231
947	4147	227
948	4151	223
949	4155	218
950	4159	214
951	4163	209
952	4167	205
953	4171	201
954	4175	196
955	4179	192
956	4183	187
957	4186	183
958	4190	179
959	4194	174
960	4198	170
961	4202	166
962	4206	161
963	4210	157
964	4214	152
965	4219	148
966	4222	144
967	4226	139
968	4230	135
969	4234	130
970	4238	126
971	4241	122
972	4245	117
973	4249	113
974	4253	109
975	4256	104
976	4259	100
977	4263	95
978	4267	91
979	4271	87
980	4275	82
981	4279	78
982	4282	74
983	4285	69
984	4289	65
985	4293	60
986	4296	56
987	4300	52
988	4304	47
989	4307	43
990	4311	39
991	4313	34
992	4316	30
993	4319	26
994	4323	21
995	4327	17
996	4331	13
997	4334	8
998	4337	4
999	4340	0
